0----匹配点数:1494, 正确匹配点数1378, 准确率0.9223560690879822 
1----匹配点数:827, 正确匹配点数688, 准确率0.8319225907325745 
2----匹配点数:2400, 正确匹配点数2270, 准确率0.9458333253860474 
3----匹配点数:2281, 正确匹配点数2052, 准确率0.8996054530143738 
4----匹配点数:949, 正确匹配点数878, 准确率0.925184428691864 
5----匹配点数:1804, 正确匹配点数1719, 准确率0.9528824687004089 
6----匹配点数:1504, 正确匹配点数1413, 准确率0.9394946694374084 
7----匹配点数:1869, 正确匹配点数1728, 准确率0.9245585799217224 
8----匹配点数:1531, 正确匹配点数1433, 准确率0.9359895586967468 
9----匹配点数:1376, 正确匹配点数1285, 准确率0.9338662624359131 
10----匹配点数:1626, 正确匹配点数1466, 准确率0.9015989899635315 
11----匹配点数:961, 正确匹配点数860, 准确率0.8949011564254761 
12----匹配点数:1569, 正确匹配点数1427, 准确率0.9094964861869812 
13----匹配点数:2114, 正确匹配点数2020, 准确率0.9555345177650452 
14----匹配点数:2283, 正确匹配点数1916, 准确率0.8392466306686401 
15----匹配点数:2808, 正确匹配点数2674, 准确率0.9522792100906372 
16----匹配点数:1015, 正确匹配点数933, 准确率0.9192118048667908 
17----匹配点数:1328, 正确匹配点数1239, 准确率0.9329819083213806 
18----匹配点数:1671, 正确匹配点数1546, 准确率0.925194501876831 
19----匹配点数:1588, 正确匹配点数1481, 准确率0.9326196312904358 
20----匹配点数:1193, 正确匹配点数1133, 准确率0.9497066140174866 
21----匹配点数:3483, 正确匹配点数3224, 准确率0.9256387948989868 
22----匹配点数:1198, 正确匹配点数1036, 准确率0.8647746443748474 
23----匹配点数:2359, 正确匹配点数2211, 准确率0.9372615218162537 
24----匹配点数:1502, 正确匹配点数1371, 准确率0.9127829670906067 
25----匹配点数:877, 正确匹配点数778, 准确率0.8871151804924011 
26----匹配点数:2432, 正确匹配点数2318, 准确率0.953125 
27----匹配点数:384, 正确匹配点数359, 准确率0.9348958134651184 
28----匹配点数:1272, 正确匹配点数1243, 准确率0.9772012829780579 
29----匹配点数:1704, 正确匹配点数1535, 准确率0.9008215665817261 
30----匹配点数:1907, 正确匹配点数1766, 准确率0.9260618686676025 
31----匹配点数:352, 正确匹配点数246, 准确率0.6988636255264282 
32----匹配点数:883, 正确匹配点数789, 准确率0.8935447335243225 
33----匹配点数:1266, 正确匹配点数1190, 准确率0.9399684071540833 
34----匹配点数:2517, 正确匹配点数2384, 准确率0.9471592903137207 
35----匹配点数:373, 正确匹配点数296, 准确率0.7935656905174255 
36----匹配点数:3126, 正确匹配点数2933, 准确率0.9382597804069519 
37----匹配点数:1495, 正确匹配点数1315, 准确率0.8795986771583557 
38----匹配点数:1752, 正确匹配点数1595, 准确率0.9103881120681763 
39----匹配点数:1368, 正确匹配点数1187, 准确率0.8676900863647461 
40----匹配点数:2061, 正确匹配点数1924, 准确率0.933527410030365 
41----匹配点数:1133, 正确匹配点数992, 准确率0.8755516409873962 
42----匹配点数:1508, 正确匹配点数1419, 准确率0.9409814476966858 
43----匹配点数:1246, 正确匹配点数1122, 准确率0.9004815220832825 
44----匹配点数:1463, 正确匹配点数1349, 准确率0.9220778942108154 
45----匹配点数:1882, 正确匹配点数1758, 准确率0.9341126680374146 
46----匹配点数:2417, 正确匹配点数2249, 准确率0.9304923415184021 
47----匹配点数:1507, 正确匹配点数1446, 准确率0.9595222473144531 
48----匹配点数:124, 正确匹配点数115, 准确率0.9274193644523621 
49----匹配点数:1773, 正确匹配点数1617, 准确率0.9120135307312012 
50----匹配点数:1496, 正确匹配点数1319, 准确率0.8816844820976257 
51----匹配点数:1235, 正确匹配点数1135, 准确率0.9190283417701721 
52----匹配点数:2250, 正确匹配点数2169, 准确率0.9639999866485596 
53----匹配点数:2052, 正确匹配点数1942, 准确率0.9463937878608704 
54----匹配点数:1548, 正确匹配点数1412, 准确率0.9121447205543518 
55----匹配点数:1465, 正确匹配点数1205, 准确率0.8225256204605103 
56----匹配点数:1360, 正确匹配点数1019, 准确率0.7492647171020508 
57----匹配点数:1941, 正确匹配点数1839, 准确率0.9474497437477112 
58----匹配点数:2682, 正确匹配点数2460, 准确率0.9172259569168091 
59----匹配点数:1238, 正确匹配点数1194, 准确率0.9644588232040405 
60----匹配点数:1391, 正确匹配点数1247, 准确率0.8964773416519165 
61----匹配点数:1767, 正确匹配点数1688, 准确率0.9552914500236511 
62----匹配点数:1741, 正确匹配点数1531, 准确率0.8793796896934509 
63----匹配点数:1822, 正确匹配点数1691, 准确率0.9281010031700134 
64----匹配点数:1646, 正确匹配点数1563, 准确率0.9495747089385986 
65----匹配点数:641, 正确匹配点数592, 准确率0.923556923866272 
66----匹配点数:1029, 正确匹配点数928, 准确率0.9018464684486389 
67----匹配点数:2436, 正确匹配点数2280, 准确率0.935960590839386 
68----匹配点数:1016, 正确匹配点数902, 准确率0.8877952694892883 
69----匹配点数:1316, 正确匹配点数984, 准确率0.7477203607559204 
70----匹配点数:1871, 正确匹配点数1666, 准确率0.8904328942298889 
71----匹配点数:3163, 正确匹配点数2976, 准确率0.9408789277076721 
72----匹配点数:932, 正确匹配点数882, 准确率0.946351945400238 
73----匹配点数:1661, 正确匹配点数1560, 准确率0.9391932487487793 
74----匹配点数:1523, 正确匹配点数1435, 准确率0.9422193169593811 
75----匹配点数:2176, 正确匹配点数1809, 准确率0.8313419222831726 
76----匹配点数:1126, 正确匹配点数1044, 准确率0.9271758198738098 
77----匹配点数:1789, 正确匹配点数1714, 准确率0.9580771327018738 
78----匹配点数:1922, 正确匹配点数1787, 准确率0.9297606945037842 
79----匹配点数:1397, 正确匹配点数1248, 准确率0.8933428525924683 
80----匹配点数:2301, 正确匹配点数2100, 准确率0.9126466512680054 
81----匹配点数:366, 正确匹配点数339, 准确率0.9262295365333557 
82----匹配点数:1309, 正确匹配点数1172, 准确率0.8953399658203125 
83----匹配点数:1489, 正确匹配点数1335, 准确率0.896574854850769 
84----匹配点数:2269, 正确匹配点数2150, 准确率0.9475539922714233 
85----匹配点数:2052, 正确匹配点数1894, 准确率0.9230019450187683 
86----匹配点数:1654, 正确匹配点数1547, 准确率0.9353083372116089 
87----匹配点数:1289, 正确匹配点数1219, 准确率0.9456943273544312 
88----匹配点数:2182, 正确匹配点数1865, 准确率0.854720413684845 
89----匹配点数:1289, 正确匹配点数1155, 准确率0.8960434198379517 
90----匹配点数:1850, 正确匹配点数1705, 准确率0.9216216206550598 
91----匹配点数:1442, 正确匹配点数1230, 准确率0.8529819846153259 
92----匹配点数:1791, 正确匹配点数1446, 准确率0.8073701858520508 
93----匹配点数:1445, 正确匹配点数1320, 准确率0.9134948253631592 
94----匹配点数:347, 正确匹配点数294, 准确率0.8472622632980347 
95----匹配点数:1347, 正确匹配点数1151, 准确率0.8544914722442627 
96----匹配点数:1209, 正确匹配点数1077, 准确率0.8908188343048096 
97----匹配点数:882, 正确匹配点数789, 准确率0.8945578336715698 
98----匹配点数:1253, 正确匹配点数1182, 准确率0.943336009979248 
99----匹配点数:1686, 正确匹配点数1591, 准确率0.9436536431312561 
100----匹配点数:2473, 正确匹配点数2363, 准确率0.9555196166038513 
101----匹配点数:1023, 正确匹配点数911, 准确率0.890518069267273 
102----匹配点数:1564, 正确匹配点数1413, 准确率0.9034526944160461 
103----匹配点数:1655, 正确匹配点数1526, 准确率0.9220544099807739 
104----匹配点数:1244, 正确匹配点数1147, 准确率0.922025740146637 
105----匹配点数:1568, 正确匹配点数1482, 准确率0.9451530575752258 
106----匹配点数:1493, 正确匹配点数1388, 准确率0.9296718239784241 
107----匹配点数:1028, 正确匹配点数894, 准确率0.8696498274803162 
108----匹配点数:816, 正确匹配点数773, 准确率0.9473039507865906 
109----匹配点数:1597, 正确匹配点数1506, 准确率0.9430181384086609 
110----匹配点数:1586, 正确匹配点数1437, 准确率0.9060529470443726 
111----匹配点数:1209, 正确匹配点数1082, 准确率0.89495450258255 
112----匹配点数:1733, 正确匹配点数1529, 准确率0.8822850584983826 
113----匹配点数:1359, 正确匹配点数1245, 准确率0.9161148071289062 
114----匹配点数:679, 正确匹配点数593, 准确率0.8733431696891785 
115----匹配点数:1509, 正确匹配点数1427, 准确率0.9456593990325928 
116----匹配点数:291, 正确匹配点数268, 准确率0.9209622144699097 
117----匹配点数:1718, 正确匹配点数1629, 准确率0.9481955766677856 
118----匹配点数:2110, 正确匹配点数2034, 准确率0.963981032371521 
119----匹配点数:1509, 正确匹配点数1413, 准确率0.9363816976547241 
120----匹配点数:1552, 正确匹配点数1407, 准确率0.906572163105011 
121----匹配点数:2290, 正确匹配点数2101, 准确率0.9174672365188599 
122----匹配点数:2617, 正确匹配点数2457, 准确率0.9388613104820251 
123----匹配点数:616, 正确匹配点数527, 准确率0.8555194735527039 
124----匹配点数:417, 正确匹配点数360, 准确率0.8633093237876892 
125----匹配点数:1003, 正确匹配点数906, 准确率0.9032901525497437 
126----匹配点数:2509, 正确匹配点数2408, 准确率0.959744930267334 
127----匹配点数:1168, 正确匹配点数1075, 准确率0.920376718044281 
128----匹配点数:2482, 正确匹配点数2335, 准确率0.9407735466957092 
129----匹配点数:1618, 正确匹配点数1527, 准确率0.9437577128410339 
130----匹配点数:1068, 正确匹配点数1002, 准确率0.9382022619247437 
131----匹配点数:1801, 正确匹配点数1688, 准确率0.9372570514678955 
132----匹配点数:2752, 正确匹配点数2569, 准确率0.9335029125213623 
133----匹配点数:936, 正确匹配点数856, 准确率0.9145299196243286 
134----匹配点数:529, 正确匹配点数472, 准确率0.8922495245933533 
135----匹配点数:1298, 正确匹配点数1252, 准确率0.964560866355896 
136----匹配点数:1378, 正确匹配点数1298, 准确率0.9419448375701904 
137----匹配点数:909, 正确匹配点数845, 准确率0.9295929670333862 
138----匹配点数:1669, 正确匹配点数1558, 准确率0.9334931373596191 
139----匹配点数:1952, 正确匹配点数1806, 准确率0.9252049326896667 
140----匹配点数:1759, 正确匹配点数1442, 准确率0.8197839856147766 
141----匹配点数:1487, 正确匹配点数1424, 准确率0.957632839679718 
142----匹配点数:2405, 正确匹配点数2284, 准确率0.9496881365776062 
143----匹配点数:1022, 正确匹配点数955, 准确率0.9344422817230225 
144----匹配点数:533, 正确匹配点数460, 准确率0.8630393743515015 
145----匹配点数:2810, 正确匹配点数2658, 准确率0.945907473564148 
146----匹配点数:2096, 正确匹配点数1874, 准确率0.8940839767456055 
147----匹配点数:2030, 正确匹配点数1788, 准确率0.8807882070541382 
148----匹配点数:2114, 正确匹配点数1907, 准确率0.9020813703536987 
149----匹配点数:2767, 正确匹配点数2615, 准确率0.9450668692588806 
150----匹配点数:1981, 正确匹配点数1854, 准确率0.9358909726142883 
151----匹配点数:179, 正确匹配点数168, 准确率0.9385474920272827 
152----匹配点数:1910, 正确匹配点数1801, 准确率0.9429319500923157 
153----匹配点数:271, 正确匹配点数227, 准确率0.8376383781433105 
154----匹配点数:2488, 正确匹配点数2183, 准确率0.8774116039276123 
155----匹配点数:1565, 正确匹配点数1499, 准确率0.9578274488449097 
156----匹配点数:1939, 正确匹配点数1713, 准确率0.8834450840950012 
157----匹配点数:288, 正确匹配点数244, 准确率0.8472222089767456 
158----匹配点数:1069, 正确匹配点数935, 准确率0.8746492266654968 
159----匹配点数:1822, 正确匹配点数1591, 准确率0.8732162714004517 
160----匹配点数:1314, 正确匹配点数1268, 准确率0.9649924039840698 
161----匹配点数:2186, 正确匹配点数2087, 准确率0.9547117948532104 
162----匹配点数:161, 正确匹配点数137, 准确率0.850931704044342 
163----匹配点数:3297, 正确匹配点数2791, 准确率0.8465271592140198 
164----匹配点数:2507, 正确匹配点数2364, 准确率0.942959725856781 
165----匹配点数:1755, 正确匹配点数1643, 准确率0.9361823201179504 
166----匹配点数:1332, 正确匹配点数1176, 准确率0.8828828930854797 
167----匹配点数:3006, 正确匹配点数2861, 准确率0.9517631530761719 
